Concept,Attributes,Group
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (American Indian and Alaska Native Alone),"B19313C_001EA,  B19313C_001M,  B19313C_001MA",B19313C
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Asian Alone),"B19313D_001EA,  B19313D_001M,  B19313D_001MA",B19313D
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"B19313E_001EA,  B19313E_001M,  B19313E_001MA",B19313E
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Some Other Race Alone),"B19313F_001EA,  B19313F_001M,  B19313F_001MA",B19313F
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Two or More Races),"B19313G_001EA,  B19313G_001M,  B19313G_001MA",B19313G
"Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (White Alone, Not Hispanic or Latino)","B19313H_001EA,  B19313H_001M,  B19313H_001MA",B19313H
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Hispanic or Latino),"B19313I_001EA,  B19313I_001M,  B19313I_001MA",B19313I
Sex by Work Experience in the Past 12 Months by Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over,"B19325_001EA,  B19325_001M,  B19325_001MA",B19325
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 15 Years and Over With Income,"B19326_001EA,  B19326_001M,  B19326_001MA",B19326
Sex by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over With Earnings in the Past 12 Months,"B20001_001EA,  B20001_001M,  B20001_001MA",B20001
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex for the Population 16 Years and Over With Earnings in the Past 12 Months,"B20002_001EA,  B20002_001M,  B20002_001MA",B20002
Aggregate Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience for the Population 16 Years and Over With Earnings,"B20003_001EA,  B20003_001M,  B20003_001MA",B20003
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Educational Attainment for the Population 25 Years and Over,"B20004_001EA,  B20004_001M,  B20004_001MA",B20004
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over,"B20005_001EA,  B20005_001M,  B20005_001MA",B20005
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (White Alone),"B20005A_001EA,  B20005A_001M,  B20005A_001MA",B20005A
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Black or African American Alone),"B20005B_001EA,  B20005B_001M,  B20005B_001MA",B20005B
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (American Indian and Alaska Native Alone),"B20005C_001EA,  B20005C_001M,  B20005C_001MA",B20005C
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Asian Alone),"B20005D_001EA,  B20005D_001M,  B20005D_001MA",B20005D
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Native Hawaiian and Other Pacific Islander Alone),"B20005E_001EA,  B20005E_001M,  B20005E_001MA",B20005E
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Some Other Race Alone),"B20005F_001EA,  B20005F_001M,  B20005F_001MA",B20005F
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Two or More Races),"B20005G_001EA,  B20005G_001M,  B20005G_001MA",B20005G
"Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (White Alone, Not Hispanic or Latino)","B20005H_001EA,  B20005H_001M,  B20005H_001MA",B20005H
Sex by Work Experience in the Past 12 Months by Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over (Hispanic or Latino),"B20005I_001EA,  B20005I_001M,  B20005I_001MA",B20005I
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months,"B20017_001EA,  B20017_001M,  B20017_001MA",B20017
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (White Alone),"B20017A_001EA,  B20017A_001M,  B20017A_001MA",B20017A
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (Black or African American Alone),"B20017B_001EA,  B20017B_001M,  B20017B_001MA",B20017B
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (American Indian and Alaska Native Alone),"B20017C_001EA,  B20017C_001M,  B20017C_001MA",B20017C
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (Asian Alone),"B20017D_001EA,  B20017D_001M,  B20017D_001MA",B20017D
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (Native Hawaiian and Other Pacific Islander Alone),"B20017E_001EA,  B20017E_001M,  B20017E_001MA",B20017E
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (Some Other Race Alone),"B20017F_001EA,  B20017F_001M,  B20017F_001MA",B20017F
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (Two or More Races),"B20017G_001EA,  B20017G_001M,  B20017G_001MA",B20017G
"Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months (White Alone, Not Hispanic or Latino)","B20017H_001EA,  B20017H_001M,  B20017H_001MA",B20017H
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings (Hispanic or Latino),"B20017I_001EA,  B20017I_001M,  B20017I_001MA",B20017I
"Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 16 Years and Over Who Worked Full-Time, Year-Round With Earnings in the Past 12 Months","B20018_001EA,  B20018_001M,  B20018_001MA",B20018
Sex by Age by Veteran Status for the Civilian Population 18 Years and Over,"B21001_001EA,  B21001_001M,  B21001_001MA",B21001
Period of Military Service for Civilian Veterans 18 Years and Over,"B21002_001EA,  B21002_001M,  B21002_001MA",B21002
Veteran Status by Educational Attainment for the Civilian Population 25 Years and Over,"B21003_001EA,  B21003_001M,  B21003_001MA",B21003
Median Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Veteran Status by Sex for the Civilian Population 18 Years and Over With Income,"B21004_001EA,  B21004_001M,  B21004_001MA",B21004
Age by Veteran Status by Employment Status for the Civilian Population 18 to 64 Years,"B21005_001EA,  B21005_001M,  B21005_001MA",B21005
Service-Connected Disability-Rating Status and Ratings for Civilian Veterans 18 Years and Over,"B21100_001EA,  B21100_001M,  B21100_001MA",B21100
Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of People 60 Years and Over for Households,"B22001_001EA,  B22001_001M,  B22001_001MA",B22001
Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years by Household Type for Households,"B22002_001EA,  B22002_001M,  B22002_001MA",B22002
Receipt of Food Stamps/SNAP in the Past 12 Months by Poverty Status in the Past 12 Months for Households,"B22003_001EA,  B22003_001M,  B22003_001MA",B22003
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (White Alone),"B22005A_001EA,  B22005A_001M,  B22005A_001MA",B22005A
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Black or African American Alone),"B22005B_001EA,  B22005B_001M,  B22005B_001MA",B22005B
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (American Indian and Alaska Native Alone),"B22005C_001EA,  B22005C_001M,  B22005C_001MA",B22005C
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Asian Alone),"B22005D_001EA,  B22005D_001M,  B22005D_001MA",B22005D
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Native Hawaiian and Other Pacific Islander Alone),"B22005E_001EA,  B22005E_001M,  B22005E_001MA",B22005E
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Some Other Race Alone),"B22005F_001EA,  B22005F_001M,  B22005F_001MA",B22005F
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Two or More Races),"B22005G_001EA,  B22005G_001M,  B22005G_001MA",B22005G
"Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (White Alone, Not Hispanic or Latino)","B22005H_001EA,  B22005H_001M,  B22005H_001MA",B22005H
Receipt of Food Stamps/SNAP in the Past 12 Months by Race of Householder (Hispanic or Latino),"B22005I_001EA,  B22005I_001M,  B22005I_001MA",B22005I
Receipt of Food Stamps/SNAP in the Past 12 Months by Family Type by Number of Workers in Family in the Past 12 Months,"B22007_001EA,  B22007_001M,  B22007_001MA",B22007
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Receipt of Food Stamps/SNAP in the Past 12 Months,"B22008_001EA,  B22008_001M,  B22008_001MA",B22008
Receipt of Food Stamps/SNAP in the Past 12 Months by Disability Status for Households,"B22010_001EA,  B22010_001M,  B22010_001MA",B22010
Sex by Age by Employment Status for the Population 16 Years and Over,"B23001_001EA,  B23001_001M,  B23001_001MA",B23001
Presence of Own Children Under 18 Years by Age of Own Children Under 18 Years by Employment Status for Females 20 to 64 Years,"B23003_001EA,  B23003_001M,  B23003_001MA",B23003
Educational Attainment by Employment Status for the Population 25 to 64 Years,"B23006_001EA,  B23006_001M,  B23006_001MA",B23006
Presence of Own Children Under 18 Years by Family Type by Employment Status,"B23007_001EA,  B23007_001M,  B23007_001MA",B23007
Age of Own Children Under 18 Years in Families and Subfamilies by Living Arrangements by Employment Status of Parents,"B23008_001EA,  B23008_001M,  B23008_001MA",B23008
Presence of Own Children Under 18 Years by Family Type by Number of Workers in Family in the Past 12 Months,"B23009_001EA,  B23009_001M,  B23009_001MA",B23009
Presence of Own Children Under 18 Years in Married-Couple Families by Work Experience of Householder and Spouse,"B23010_001EA,  B23010_001M,  B23010_001MA",B23010
Median Age by Sex for Workers 16 to 64 Years,"B23013_001EA,  B23013_001M,  B23013_001MA",B23013
Aggregate Usual Hours Worked in the Past 12 Months by Sex for Workers 16 to 64 Years,"B23018_001EA,  B23018_001M,  B23018_001MA",B23018
Mean Usual Hours Worked in the Past 12 Months for Workers 16 to 64 Years,"B23020_001EA,  B23020_001M,  B23020_001MA",B23020
Sex by Work Status in the Past 12 Months by Usual Hours Worked per Week in the Past 12 Months by Weeks Worked in the Past 12 Months for the Population 16 to 64 Years,"B23022_001EA,  B23022_001M,  B23022_001MA",B23022
Poverty Status in the Past 12 Months by Disability Status by Employment Status for the Population 20 to 64 Years,"B23024_001EA,  B23024_001M,  B23024_001MA",B23024
Employment Status for the Population 16 Years and Over,"B23025_001EA,  B23025_001M,  B23025_001MA",B23025
Sex by Work Status in the Past 12 Months by Usual Hours Worked per Week in the Past 12 Months by Weeks Worked in the Past 12 Months for the Population 65 Years and Over,"B23026_001EA,  B23026_001M,  B23026_001MA",B23026
"Full-Time, Year-Round Work Status in the Past 12 Months by Age for the Population 16 Years and Over","B23027_001EA,  B23027_001M,  B23027_001MA",B23027
Occupation by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24011_001EA,  B24011_001M,  B24011_001MA",B24011
Sex by Occupation and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24012_001EA,  B24012_001M,  B24012_001MA",B24012
"Occupation by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24021_001EA,  B24021_001M,  B24021_001MA",B24021
"Sex by Occupation and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24022_001EA,  B24022_001M,  B24022_001MA",B24022
Industry by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24031_001EA,  B24031_001M,  B24031_001MA",B24031
Sex by Industry and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24032_001EA,  B24032_001M,  B24032_001MA",B24032
"Industry by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24041_001EA,  B24041_001M,  B24041_001MA",B24041
"Sex by Industry and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24042_001EA,  B24042_001M,  B24042_001MA",B24042
Sex by Class of Worker for the Civilian Employed Population 16 Years and Over,"B24080_001EA,  B24080_001M,  B24080_001MA",B24080
Class of Worker by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24081_001EA,  B24081_001M,  B24081_001MA",B24081
Sex by Class of Worker and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Civilian Employed Population 16 Years and Over,"B24082_001EA,  B24082_001M,  B24082_001MA",B24082
"Sex by Class of Worker for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24090_001EA,  B24090_001M,  B24090_001MA",B24090
"Class of Worker by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24091_001EA,  B24091_001M,  B24091_001MA",B24091
"Sex by Class of Worker and Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24092_001EA,  B24092_001M,  B24092_001MA",B24092
Detailed Occupation for the Civilian Employed Population 16 Years and Over,"B24114_001EA,  B24114_001M,  B24114_001MA",B24114
Detailed Occupation for the Civilian Employed Male Population 16 Years and Over,"B24115_001EA,  B24115_001M,  B24115_001MA",B24115
Detailed Occupation for the Civilian Employed Female Population 16 Years and Over,"B24116_001EA,  B24116_001M,  B24116_001MA",B24116
"Detailed Occupation by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24121_001EA,  B24121_001M,  B24121_001MA",B24121
"Detailed Occupation by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Male Population 16 Years and Over","B24122_001EA,  B24122_001M,  B24122_001MA",B24122
"Detailed Occupation by Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Full-Time, Year-Round Civilian Employed Female Population 16 Years and Over","B24123_001EA,  B24123_001M,  B24123_001MA",B24123
"Detailed Occupation for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over","B24124_001EA,  B24124_001M,  B24124_001MA",B24124
"Detailed Occupation for the Full-Time, Year-Round Civilian Employed Male Population 16 Years and Over","B24125_001EA,  B24125_001M,  B24125_001MA",B24125
"Detailed Occupation for the Full-Time, Year-Round Civilian Employed Female Population 16 Years and Over","B24126_001EA,  B24126_001M,  B24126_001MA",B24126
Detailed Industry for the Civilian Employed Population 16 Years and Over,"B24134_001EA,  B24134_001M,  B24134_001MA",B24134
Detailed Industry for the Civilian Employed Male Population 16 Years and Over,"B24135_001EA,  B24135_001M,  B24135_001MA",B24135
Detailed Industry for the Civilian Employed Female Population 16 Years and Over,"B24136_001EA,  B24136_001M,  B24136_001MA",B24136
Housing Units,"B25001_001EA,  B25001_001M,  B25001_001MA",B25001
Occupancy Status,"B25002_001EA,  B25002_001M,  B25002_001MA",B25002
Tenure,"B25003_001EA,  B25003_001M,  B25003_001MA",B25003
Tenure (White Alone Householder),"B25003A_001EA,  B25003A_001M,  B25003A_001MA",B25003A
Tenure (Black or African American Alone Householder),"B25003B_001EA,  B25003B_001M,  B25003B_001MA",B25003B
Tenure (American Indian and Alaska Native Alone Householder),"B25003C_001EA,  B25003C_001M,  B25003C_001MA",B25003C
Tenure (Asian Alone Householder),"B25003D_001EA,  B25003D_001M,  B25003D_001MA",B25003D
Tenure (Native Hawaiian and Other Pacific Islander Alone Householder),"B25003E_001EA,  B25003E_001M,  B25003E_001MA",B25003E
Tenure (Some Other Race Alone Householder),"B25003F_001EA,  B25003F_001M,  B25003F_001MA",B25003F
Tenure (Two or More Races Householder),"B25003G_001EA,  B25003G_001M,  B25003G_001MA",B25003G
"Tenure (White Alone, Not Hispanic or Latino Householder)","B25003H_001EA,  B25003H_001M,  B25003H_001MA",B25003H
Tenure (Hispanic or Latino Householder),"B25003I_001EA,  B25003I_001M,  B25003I_001MA",B25003I
Vacancy Status,"B25004_001EA,  B25004_001M,  B25004_001MA",B25004
Vacant - Current Residence Elsewhere,"B25005_001EA,  B25005_001M,  B25005_001MA",B25005
Race of Householder,"B25006_001EA,  B25006_001M,  B25006_001MA",B25006
Tenure by Age of Householder,"B25007_001EA,  B25007_001M,  B25007_001MA",B25007
Total Population in Occupied Housing Units by Tenure,"B25008_001EA,  B25008_001M,  B25008_001MA",B25008
Total Population in Occupied Housing Units by Tenure (White Alone Householder),"B25008A_001EA,  B25008A_001M,  B25008A_001MA",B25008A
Total Population in Occupied Housing Units by Tenure (Black or African American Alone Householder),"B25008B_001EA,  B25008B_001M,  B25008B_001MA",B25008B
Total Population in Occupied Housing Units by Tenure (American Indian and Alaska Native Alone Householder),"B25008C_001EA,  B25008C_001M,  B25008C_001MA",B25008C
Total Population in Occupied Housing Units by Tenure (Asian Alone Householder),"B25008D_001EA,  B25008D_001M,  B25008D_001MA",B25008D
Total Population in Occupied Housing Units by Tenure (Native Hawaiian and Other Pacific Islander Alone Householder),"B25008E_001EA,  B25008E_001M,  B25008E_001MA",B25008E
Total Population in Occupied Housing Units by Tenure (Some Other Race Alone Householder),"B25008F_001EA,  B25008F_001M,  B25008F_001MA",B25008F
Total Population in Occupied Housing Units by Tenure (Two or More Races Householder),"B25008G_001EA,  B25008G_001M,  B25008G_001MA",B25008G
"Total Population in Occupied Housing Units by Tenure (White Alone, Not Hispanic or Latino Householder)","B25008H_001EA,  B25008H_001M,  B25008H_001MA",B25008H
Total Population in Occupied Housing Units by Tenure (Hispanic or Latino Householder),"B25008I_001EA,  B25008I_001M,  B25008I_001MA",B25008I
Tenure by Household Size,"B25009_001EA,  B25009_001M,  B25009_001MA",B25009
Average Household Size of Occupied Housing Units by Tenure,"B25010_001EA,  B25010_001M,  B25010_001MA",B25010
Average Household Size of Occupied Housing Units by Tenure (White Alone Householder),"B25010A_001EA,  B25010A_001M,  B25010A_001MA",B25010A
Average Household Size of Occupied Housing Units by Tenure (Black or African American Alone Householder),"B25010B_001EA,  B25010B_001M,  B25010B_001MA",B25010B
Average Household Size of Occupied Housing Units by Tenure (American Indian and Alaska Native Alone Householder),"B25010C_001EA,  B25010C_001M,  B25010C_001MA",B25010C
Average Household Size of Occupied Housing Units by Tenure (Asian Alone Householder),"B25010D_001EA,  B25010D_001M,  B25010D_001MA",B25010D
Average Household Size of Occupied Housing Units by Tenure (Native Hawaiian and Other Pacific Islander Alone Householder),"B25010E_001EA,  B25010E_001M,  B25010E_001MA",B25010E
Average Household Size of Occupied Housing Units by Tenure (Some Other Race Alone Householder),"B25010F_001EA,  B25010F_001M,  B25010F_001MA",B25010F
Average Household Size of Occupied Housing Units by Tenure (Two or More Races Householder),"B25010G_001EA,  B25010G_001M,  B25010G_001MA",B25010G
"Average Household Size of Occupied Housing Units by Tenure (White Alone, Not Hispanic or Latino Householder)","B25010H_001EA,  B25010H_001M,  B25010H_001MA",B25010H
Average Household Size of Occupied Housing Units by Tenure (Hispanic or Latino Householder),"B25010I_001EA,  B25010I_001M,  B25010I_001MA",B25010I
Tenure by Household Type (Including Living Alone) and Age of Householder,"B25011_001EA,  B25011_001M,  B25011_001MA",B25011
Tenure by Families and Presence of Own Children,"B25012_001EA,  B25012_001M,  B25012_001MA",B25012
Tenure by Educational Attainment of Householder,"B25013_001EA,  B25013_001M,  B25013_001MA",B25013
Tenure by Occupants per Room,"B25014_001EA,  B25014_001M,  B25014_001MA",B25014
Occupants per Room (White Alone Householder),"B25014A_001EA,  B25014A_001M,  B25014A_001MA",B25014A
Occupants per Room (Black or African American Alone Householder),"B25014B_001EA,  B25014B_001M,  B25014B_001MA",B25014B
Occupants per Room (American Indian and Alaska Native Alone Householder),"B25014C_001EA,  B25014C_001M,  B25014C_001MA",B25014C
Occupants per Room (Asian Alone Householder),"B25014D_001EA,  B25014D_001M,  B25014D_001MA",B25014D
Occupants per Room (Native Hawaiian and Other Pacific Islander Alone Householder),"B25014E_001EA,  B25014E_001M,  B25014E_001MA",B25014E
Occupants per Room (Some Other Race Alone Householder),"B25014F_001EA,  B25014F_001M,  B25014F_001MA",B25014F
Occupants per Room (Two or More Races Householder),"B25014G_001EA,  B25014G_001M,  B25014G_001MA",B25014G
"Occupants per Room (White Alone, Not Hispanic or Latino Householder)","B25014H_001EA,  B25014H_001M,  B25014H_001MA",B25014H
Occupants per Room (Hispanic or Latino Householder),"B25014I_001EA,  B25014I_001M,  B25014I_001MA",B25014I
Tenure by Age of Householder by Occupants per Room,"B25015_001EA,  B25015_001M,  B25015_001MA",B25015
Tenure by Plumbing Facilities by Occupants per Room,"B25016_001EA,  B25016_001M,  B25016_001MA",B25016
Rooms,"B25017_001EA,  B25017_001M,  B25017_001MA",B25017
Median Number of Rooms,"B25018_001EA,  B25018_001M,  B25018_001MA",B25018
Aggregate Number of Rooms,"B25019_001EA,  B25019_001M,  B25019_001MA",B25019
Tenure by Rooms,"B25020_001EA,  B25020_001M,  B25020_001MA",B25020
Median Number of Rooms by Tenure,"B25021_001EA,  B25021_001M,  B25021_001MA",B25021
Aggregate Number of Rooms by Tenure,"B25022_001EA,  B25022_001M,  B25022_001MA",B25022
Units in Structure,"B25024_001EA,  B25024_001M,  B25024_001MA",B25024
Total Population in Occupied Housing Units by Tenure by Year Householder Moved Into Unit,"B25026_001EA,  B25026_001M,  B25026_001MA",B25026
Mortgage Status by Age of Householder,"B25027_001EA,  B25027_001M,  B25027_001MA",B25027
Median Gross Rent by Bedrooms,"B25031_001EA,  B25031_001M,  B25031_001MA",B25031
Tenure by Units in Structure,"B25032_001EA,  B25032_001M,  B25032_001MA",B25032
Units in Structure (White Alone Householder),"B25032A_001EA,  B25032A_001M,  B25032A_001MA",B25032A
Units in Structure (Black or African American Alone Householder),"B25032B_001EA,  B25032B_001M,  B25032B_001MA",B25032B
Units in Structure (American Indian and Alaska Native Alone Householder),"B25032C_001EA,  B25032C_001M,  B25032C_001MA",B25032C
Units in Structure (Asian Alone Householder),"B25032D_001EA,  B25032D_001M,  B25032D_001MA",B25032D
Units in Structure (Native Hawaiian and Other Pacific Islander Alone Householder),"B25032E_001EA,  B25032E_001M,  B25032E_001MA",B25032E
Units in Structure (Some Other Race Alone Householder),"B25032F_001EA,  B25032F_001M,  B25032F_001MA",B25032F
Units in Structure (Two or More Races Householder),"B25032G_001EA,  B25032G_001M,  B25032G_001MA",B25032G
"Units in Structure (White Alone, Not Hispanic or Latino Householder)","B25032H_001EA,  B25032H_001M,  B25032H_001MA",B25032H
Units in Structure (Hispanic or Latino Householder),"B25032I_001EA,  B25032I_001M,  B25032I_001MA",B25032I
Total Population in Occupied Housing Units by Tenure by Units in Structure,"B25033_001EA,  B25033_001M,  B25033_001MA",B25033
Year Structure Built,"B25034_001EA,  B25034_001M,  B25034_001MA",B25034
Median Year Structure Built,"B25035_001EA,  B25035_001M,  B25035_001MA",B25035
Tenure by Year Structure Built,"B25036_001EA,  B25036_001M,  B25036_001MA",B25036
Median Year Structure Built by Tenure,"B25037_001EA,  B25037_001M,  B25037_001MA",B25037
Tenure by Year Householder Moved Into Unit,"B25038_001EA,  B25038_001M,  B25038_001MA",B25038
Median Year Householder Moved Into Unit by Tenure,"B25039_001EA,  B25039_001M,  B25039_001MA",B25039
House Heating Fuel,"B25040_001EA,  B25040_001M,  B25040_001MA",B25040
Bedrooms,"B25041_001EA,  B25041_001M,  B25041_001MA",B25041
Tenure by Bedrooms,"B25042_001EA,  B25042_001M,  B25042_001MA",B25042
Tenure by Telephone Service Available by Age of Householder,"B25043_001EA,  B25043_001M,  B25043_001MA",B25043
Tenure by Vehicles Available,"B25044_001EA,  B25044_001M,  B25044_001MA",B25044
Tenure by Vehicles Available by Age of Householder,"B25045_001EA,  B25045_001M,  B25045_001MA",B25045
Aggregate Number of Vehicles Available by Tenure,"B25046_001EA,  B25046_001M,  B25046_001MA",B25046
Plumbing Facilities for All Housing Units,"B25047_001EA,  B25047_001M,  B25047_001MA",B25047
Plumbing Facilities for Occupied Housing Units,"B25048_001EA,  B25048_001M,  B25048_001MA",B25048
Tenure by Plumbing Facilities,"B25049_001EA,  B25049_001M,  B25049_001MA",B25049
Plumbing Facilities by Occupants per Room by Year Structure Built,"B25050_001EA,  B25050_001M,  B25050_001MA",B25050
Kitchen Facilities for All Housing Units,"B25051_001EA,  B25051_001M,  B25051_001MA",B25051
Kitchen Facilities for Occupied Housing Units,"B25052_001EA,  B25052_001M,  B25052_001MA",B25052
Tenure by Kitchen Facilities,"B25053_001EA,  B25053_001M,  B25053_001MA",B25053
Kitchen Facilities by Meals Included in Rent,"B25054_001EA,  B25054_001M,  B25054_001MA",B25054
Age of Householder by Meals Included in Rent,"B25055_001EA,  B25055_001M,  B25055_001MA",B25055
Contract Rent,"B25056_001EA,  B25056_001M,  B25056_001MA",B25056
Lower Contract Rent Quartile (Dollars),"B25057_001EA,  B25057_001M,  B25057_001MA",B25057
Median Contract Rent (Dollars),"B25058_001EA,  B25058_001M,  B25058_001MA",B25058
Upper Contract Rent Quartile (Dollars),"B25059_001EA,  B25059_001M,  B25059_001MA",B25059
Aggregate Contract Rent (Dollars),"B25060_001EA,  B25060_001M,  B25060_001MA",B25060
Rent Asked,"B25061_001EA,  B25061_001M,  B25061_001MA",B25061
Aggregate Rent Asked (Dollars),"B25062_001EA,  B25062_001M,  B25062_001MA",B25062
Gross Rent,"B25063_001EA,  B25063_001M,  B25063_001MA",B25063
Median Gross Rent (Dollars),"B25064_001EA,  B25064_001M,  B25064_001MA",B25064
Aggregate Gross Rent (Dollars),"B25065_001EA,  B25065_001M,  B25065_001MA",B25065
